young_count,old_count,beat_id_full,weather_condition_full,quarter_full,ratio_young_old_FINAL
11,41,833,SNOW,1,0.26829268292682928
6,56,834,SNOW,1,0.10714285714285714
5,35,835,SNOW,1,0.14285714285714285
7,47,911,SNOW,1,0.14893617021276595
6,46,912,SNOW,1,0.13043478260869565
1,19,913,SNOW,1,5.2631578947368418E-2
2,49,914,SNOW,1,4.0816326530612242E-2
2,14,915,SNOW,1,0.14285714285714285
,31,921,SNOW,1,0
3,41,922,SNOW,1,7.3170731707317069E-2
1,23,923,SNOW,1,4.3478260869565216E-2
3,30,924,SNOW,1,0.10000000000000001
,20,925,SNOW,1,0
2,12,931,SNOW,1,0.16666666666666666
,31,932,SNOW,1,0
3,16,933,SNOW,1,0.1875
,7,934,SNOW,1,0
,8,935,SNOW,1,0
3,13,1011,SNOW,1,0.23076923076923078
1,19,1012,SNOW,1,5.2631578947368418E-2
5,36,1013,SNOW,1,0.1388888888888889
3,14,1014,SNOW,1,0.21428571428571427
1,6,1021,SNOW,1,0.16666666666666666
3,22,1022,SNOW,1,0.13636363636363635
,21,1023,SNOW,1,0
,18,1024,SNOW,1,0
3,48,1031,SNOW,1,0.0625
3,21,1032,SNOW,1,0.14285714285714285
1,30,1033,SNOW,1,3.3333333333333333E-2
4,51,1034,SNOW,1,7.8431372549019607E-2
1,28,1111,SNOW,1,3.5714285714285712E-2
,13,1112,SNOW,1,0
3,15,1113,SNOW,1,0.20000000000000001
,20,1114,SNOW,1,0
1,15,1115,SNOW,1,6.6666666666666666E-2
2,16,1121,SNOW,1,0.125
3,16,1122,SNOW,1,0.1875
,4,1123,SNOW,1,0
1,9,1124,SNOW,1,0.1111111111111111
,5,1125,SNOW,1,0
3,25,1131,SNOW,1,0.12
1,21,1132,SNOW,1,4.7619047619047616E-2
1,20,1133,SNOW,1,5.0000000000000003E-2
4,18,1134,SNOW,1,0.22222222222222221
,4,1135,SNOW,1,0
,8,1211,SNOW,1,0
,32,1212,SNOW,1,0
2,23,1213,SNOW,1,8.6956521739130432E-2
3,49,1214,SNOW,1,6.1224489795918366E-2
5,50,1215,SNOW,1,0.10000000000000001
,19,1221,SNOW,1,0
,19,1222,SNOW,1,0
4,20,1223,SNOW,1,0.20000000000000001
3,40,1224,SNOW,1,7.4999999999999997E-2
