quarter,weather_condition,beat,ratio
6,934,,1,106,934,,1,5.6603773584905662E-2
13,935,,1,237,935,,1,5.4852320675105488E-2
22,1011,,1,222,1011,,1,0.0990990990990991
21,1012,,1,188,1012,,1,0.11170212765957446
59,1013,,1,440,1013,,1,0.13409090909090909
21,1014,,1,193,1014,,1,0.10880829015544041
13,1021,,1,117,1021,,1,0.1111111111111111
33,1022,,1,328,1022,,1,0.10060975609756098
18,1023,,1,300,1023,,1,5.9999999999999998E-2
16,1024,,1,160,1024,,1,0.10000000000000001
48,1031,,1,460,1031,,1,0.10434782608695652
27,1032,,1,234,1032,,1,0.11538461538461539
26,1033,,1,331,1033,,1,7.8549848942598186E-2
54,1034,,1,556,1034,,1,9.7122302158273388E-2
41,1111,,1,424,1111,,1,9.6698113207547176E-2
25,1112,,1,288,1112,,1,8.6805555555555552E-2
41,1113,,1,442,1113,,1,9.2760180995475117E-2
14,1114,,1,178,1114,,1,7.8651685393258425E-2
19,1115,,1,217,1115,,1,0.08755760368663594
29,1121,,1,292,1121,,1,9.9315068493150679E-2
55,1122,,1,441,1122,,1,0.12471655328798185
10,1123,,1,180,1123,,1,5.5555555555555552E-2
12,1124,,1,147,1124,,1,8.1632653061224483E-2
5,1125,,1,111,1125,,1,4.5045045045045043E-2
28,1131,,1,374,1131,,1,7.4866310160427801E-2
31,1132,,1,287,1132,,1,0.10801393728222997
43,1133,,1,406,1133,,1,0.10591133004926108
26,1134,,1,235,1134,,1,0.11063829787234042
11,1135,,1,222,1135,,1,0.04954954954954955
21,1211,,1,241,1211,,1,8.7136929460580909E-2
20,1212,,1,300,1212,,1,6.6666666666666666E-2
19,1213,,1,414,1213,,1,4.5893719806763288E-2
31,1214,,1,725,1214,,1,0.04275862068965517
29,1215,,1,489,1215,,1,5.9304703476482618E-2
43,1221,,1,471,1221,,1,9.1295116772823773E-2
36,1222,,1,376,1222,,1,9.5744680851063829E-2
39,1223,,1,423,1223,,1,9.2198581560283682E-2
37,1224,,1,734,1224,,1,5.0408719346049048E-2
34,1225,,1,468,1225,,1,7.2649572649572655E-2
59,1231,,1,796,1231,,1,7.4120603015075379E-2
77,1232,,1,966,1232,,1,7.9710144927536225E-2
29,1233,,1,443,1233,,1,6.5462753950338598E-2
43,1234,,1,401,1234,,1,0.10723192019950124
28,1235,,1,557,1235,,1,5.0269299820466788E-2
47,1411,,1,457,1411,,1,0.10284463894967177
25,1412,,1,285,1412,,1,0.08771929824561403
15,1413,,1,247,1413,,1,6.0728744939271252E-2
19,1414,,1,299,1414,,1,0.06354515050167224
14,1421,,1,237,1421,,1,5.9071729957805907E-2
24,1422,,1,188,1422,,1,0.1276595744680851
25,1423,,1,187,1423,,1,0.13368983957219252
36,1424,,1,372,1424,,1,9.6774193548387094E-2
13,1431,,1,285,1431,,1,4.5614035087719301E-2
53,1432,,1,617,1432,,1,8.5899513776337116E-2
28,1433,,1,521,1433,,1,5.3742802303262956E-2
22,1434,,1,344,1434,,1,6.3953488372093026E-2
20,1511,,1,252,1511,,1,7.9365079365079361E-2
17,1512,,1,240,1512,,1,7.0833333333333331E-2
27,1513,,1,470,1513,,1,5.7446808510638298E-2
29,1522,,1,405,1522,,1,0.07160493827160494
26,1523,,1,251,1523,,1,0.10358565737051793
26,1524,,1,270,1524,,1,9.6296296296296297E-2
30,1531,,1,275,1531,,1,0.10909090909090909
31,1532,,1,278,1532,,1,0.11151079136690648
61,1533,,1,617,1533,,1,9.8865478119935166E-2
41,1611,,1,378,1611,,1,0.10846560846560846
41,1612,,1,298,1612,,1,0.13758389261744966
58,1613,,1,306,1613,,1,0.18954248366013071
27,1614,,1,357,1614,,1,7.5630252100840331E-2
46,1621,,1,483,1621,,1,9.5238095238095233E-2
105,1622,,1,682,1622,,1,0.15395894428152493
79,1623,,1,705,1623,,1,0.11205673758865248
44,1624,,1,429,1624,,1,0.10256410256410256
59,1631,,1,407,1631,,1,0.14496314496314497
56,1632,,1,490,1632,,1,0.11428571428571428
45,1633,,1,511,1633,,1,8.8062622309197647E-2
28,1634,,1,359,1634,,1,7.7994428969359333E-2
3,1651,,1,65,1651,,1,4.6153846153846156E-2
,,,,28,1654,,1,
,,,,2,1655,,1,
52,1711,,1,605,1711,,1,8.5950413223140495E-2
76,1712,,1,597,1712,,1,0.12730318257956449
28,1713,,1,232,1713,,1,0.1206896551724138
52,1722,,1,586,1722,,1,8.8737201365187715E-2
32,1723,,1,420,1723,,1,7.6190476190476197E-2
30,1724,,1,345,1724,,1,8.6956521739130432E-2
50,1731,,1,453,1731,,1,0.11037527593818984
44,1732,,1,548,1732,,1,8.0291970802919707E-2
41,1733,,1,524,1733,,1,7.8244274809160311E-2
13,1811,,1,347,1811,,1,3.7463976945244955E-2
19,1812,,1,244,1812,,1,7.7868852459016397E-2
9,1813,,1,209,1813,,1,4.3062200956937802E-2
28,1814,,1,567,1814,,1,4.9382716049382713E-2
18,1821,,1,322,1821,,1,5.5900621118012424E-2
22,1822,,1,516,1822,,1,4.2635658914728682E-2
14,1823,,1,208,1823,,1,6.7307692307692304E-2
27,1824,,1,604,1824,,1,4.4701986754966887E-2
39,1831,,1,1535,1831,,1,2.5407166123778503E-2
41,1832,,1,747,1832,,1,5.4886211512717539E-2
36,1833,,1,789,1833,,1,4.5627376425855515E-2
69,1834,,1,1602,1834,,1,0.04307116104868914
53,1911,,1,517,1911,,1,0.10251450676982592
24,1912,,1,331,1912,,1,7.2507552870090641E-2
13,1913,,1,148,1913,,1,8.7837837837837843E-2
21,1914,,1,231,1914,,1,9.0909090909090912E-2
20,1915,,1,259,1915,,1,7.7220077220077218E-2
58,1921,,1,405,1921,,1,0.14320987654320988
26,1922,,1,383,1922,,1,6.7885117493472591E-2
18,1923,,1,202,1923,,1,8.9108910891089105E-2
12,1924,,1,231,1924,,1,5.1948051948051951E-2
22,1925,,1,506,1925,,1,4.3478260869565216E-2
25,1931,,1,400,1931,,1,0.0625
22,1932,,1,306,1932,,1,7.1895424836601302E-2
4,1933,,1,196,1933,,1,2.0408163265306121E-2
15,1934,,1,378,1934,,1,0.03968253968253968
29,1935,,1,401,1935,,1,7.2319201995012475E-2
51,2011,,1,556,2011,,1,0.09172661870503597
28,2012,,1,455,2012,,1,6.1538461538461542E-2
42,2013,,1,370,2013,,1,0.11351351351351352
16,2022,,1,365,2022,,1,4.3835616438356165E-2
15,2023,,1,161,2023,,1,9.3167701863354033E-2
7,2024,,1,199,2024,,1,3.5175879396984924E-2
21,2031,,1,275,2031,,1,0.07636363636363637
8,2032,,1,221,2032,,1,3.6199095022624438E-2
10,2033,,1,177,2033,,1,5.6497175141242938E-2
100,2211,,1,531,2211,,1,0.18832391713747645
63,2212,,1,501,2212,,1,0.12574850299401197
44,2213,,1,415,2213,,1,0.10602409638554217
46,2221,,1,401,2221,,1,0.11471321695760599
28,2222,,1,204,2222,,1,0.13725490196078433
