date_id,day,month,year,quarter,day_of_week,week_number,is_weekend,is_holiday
20180919,19,9,2018,3,Wednesday,38,0,0
20180918,18,9,2018,3,Tuesday,38,0,0
20180917,17,9,2018,3,Monday,38,0,0
20180916,16,9,2018,3,Sunday,37,1,0
20180915,15,9,2018,3,Saturday,37,1,0
20180914,14,9,2018,3,Friday,37,0,0
20180913,13,9,2018,3,Thursday,37,0,0
20180912,12,9,2018,3,Wednesday,37,0,0
20180911,11,9,2018,3,Tuesday,37,0,0
20180910,10,9,2018,3,Monday,37,0,0
20180909,9,9,2018,3,Sunday,36,1,0
20180908,8,9,2018,3,Saturday,36,1,0
20180907,7,9,2018,3,Friday,36,0,0
20180906,6,9,2018,3,Thursday,36,0,0
20180905,5,9,2018,3,Wednesday,36,0,0
20180904,4,9,2018,3,Tuesday,36,0,0
20180903,3,9,2018,3,Monday,36,0,0
20180902,2,9,2018,3,Sunday,35,1,0
20180901,1,9,2018,3,Saturday,35,1,0
20180831,31,8,2018,3,Friday,35,0,0
20180830,30,8,2018,3,Thursday,35,0,0
20180829,29,8,2018,3,Wednesday,35,0,0
20180828,28,8,2018,3,Tuesday,35,0,0
20180827,27,8,2018,3,Monday,35,0,0
20180826,26,8,2018,3,Sunday,34,1,0
20180825,25,8,2018,3,Saturday,34,1,0
20180824,24,8,2018,3,Friday,34,0,0
20180823,23,8,2018,3,Thursday,34,0,0
20180822,22,8,2018,3,Wednesday,34,0,0
20180821,21,8,2018,3,Tuesday,34,0,0
20180820,20,8,2018,3,Monday,34,0,0
20180819,19,8,2018,3,Sunday,33,1,0
20180818,18,8,2018,3,Saturday,33,1,0
20180817,17,8,2018,3,Friday,33,0,0
20180816,16,8,2018,3,Thursday,33,0,0
20180815,15,8,2018,3,Wednesday,33,0,0
20180814,14,8,2018,3,Tuesday,33,0,0
20180813,13,8,2018,3,Monday,33,0,0
20180812,12,8,2018,3,Sunday,32,1,0
20180811,11,8,2018,3,Saturday,32,1,0
20180810,10,8,2018,3,Friday,32,0,0
20180809,9,8,2018,3,Thursday,32,0,0
20180808,8,8,2018,3,Wednesday,32,0,0
20180807,7,8,2018,3,Tuesday,32,0,0
20180806,6,8,2018,3,Monday,32,0,0
20180805,5,8,2018,3,Sunday,31,1,0
20180804,4,8,2018,3,Saturday,31,1,0
20180803,3,8,2018,3,Friday,31,0,0
20180802,2,8,2018,3,Thursday,31,0,0
20180801,1,8,2018,3,Wednesday,31,0,0
20180731,31,7,2018,3,Tuesday,31,0,0
20180730,30,7,2018,3,Monday,31,0,0
20180729,29,7,2018,3,Sunday,30,1,0
20180728,28,7,2018,3,Saturday,30,1,0
20180727,27,7,2018,3,Friday,30,0,0
20180726,26,7,2018,3,Thursday,30,0,0
20180725,25,7,2018,3,Wednesday,30,0,0
20180724,24,7,2018,3,Tuesday,30,0,0
20180723,23,7,2018,3,Monday,30,0,0
20180722,22,7,2018,3,Sunday,29,1,0
20180721,21,7,2018,3,Saturday,29,1,0
20180720,20,7,2018,3,Friday,29,0,0
20180719,19,7,2018,3,Thursday,29,0,0
20180718,18,7,2018,3,Wednesday,29,0,0
20180717,17,7,2018,3,Tuesday,29,0,0
20180716,16,7,2018,3,Monday,29,0,0
20180715,15,7,2018,3,Sunday,28,1,0
20180714,14,7,2018,3,Saturday,28,1,0
20180713,13,7,2018,3,Friday,28,0,0
20180712,12,7,2018,3,Thursday,28,0,0
20180711,11,7,2018,3,Wednesday,28,0,0
20180710,10,7,2018,3,Tuesday,28,0,0
20180709,9,7,2018,3,Monday,28,0,0
20180708,8,7,2018,3,Sunday,27,1,0
20180707,7,7,2018,3,Saturday,27,1,0
20180706,6,7,2018,3,Friday,27,0,0
20180705,5,7,2018,3,Thursday,27,0,0
20180704,4,7,2018,3,Wednesday,27,0,0
20180703,3,7,2018,3,Tuesday,27,0,0
20180702,2,7,2018,3,Monday,27,0,0
20180701,1,7,2018,3,Sunday,26,1,0
20180630,30,6,2018,2,Saturday,26,1,0
20180629,29,6,2018,2,Friday,26,0,0
20180628,28,6,2018,2,Thursday,26,0,0
20180627,27,6,2018,2,Wednesday,26,0,0
20180626,26,6,2018,2,Tuesday,26,0,0
20180625,25,6,2018,2,Monday,26,0,0
20180624,24,6,2018,2,Sunday,25,1,0
20180623,23,6,2018,2,Saturday,25,1,0
20180622,22,6,2018,2,Friday,25,0,0
20180621,21,6,2018,2,Thursday,25,0,0
20180620,20,6,2018,2,Wednesday,25,0,0
20180619,19,6,2018,2,Tuesday,25,0,0
20180618,18,6,2018,2,Monday,25,0,0
